ellapsed_exp_time,frame_id,start_frame_time,ellapsed_element_time,routine_name,element_iteration,condition_name,eyes_camera_pos,eyes_camera_rot,framerate
2001.557,125,1990.917,1997.475,Lab_Idle,0,default,-0.003081965 1.691495 0.384837,4.387421 0.02310639 0.4704962,71.52612
2023.655,126,2002.059,2019.574,Lab_Idle,0,default,-0.003087585 1.691478 0.384841,4.386047 0.02106626 0.4701517,72.21751
2034.763,127,2024.155,2030.684,Lab_Idle,0,default,-0.003155557 1.691432 0.3849297,4.38788 0.02601662 0.4739474,71.55236
2057.806,128,2035.206,2053.726,Lab_Idle,0,default,-0.003170448 1.691418 0.3849299,4.387371 0.02244606 0.4721891,72.24983
2068.232,129,2058.339,2064.153,Lab_Idle,0,default,-0.002982792 1.691295 0.3850467,4.38414 0.0181926 0.4714661,71.23481
2079.805,130,2068.651,2075.727,Lab_Idle,0,default,-0.003009669 1.691273 0.3850508,4.376558 0.01856378 0.4682762,71.61707
2101.624,131,2080.345,2097.546,Lab_Idle,0,default,-0.002957771 1.691225 0.3851768,4.389167 0.02070305 0.4679289,72.24052
2112.786,132,2102.141,2108.706,Lab_Idle,0,default,-0.002978644 1.691207 0.3851919,4.392025 0.02230297 0.466456,71.57494
2123.934,133,2113.24,2119.853,Lab_Idle,0,default,-0.002996912 1.691198 0.3851929,4.388566 0.01848583 0.4745332,72.27283
2146.529,134,2124.414,2142.449,Lab_Idle,0,default,-0.002926767 1.691097 0.3851056,4.385161 0.02329437 0.46682,72.25877
2156.95,135,2147.042,2152.87,Lab_Idle,0,default,-0.002963819 1.691069 0.3851003,4.389925 0.02541028 0.4617568,71.93003
2179.209,136,2157.475,2175.129,Lab_Idle,0,default,-0.003018671 1.691138 0.3850923,4.389248 0.02296887 0.4687335,72.30049
2190.219,137,2179.778,2186.139,Lab_Idle,0,default,-0.003047189 1.691105 0.3850902,4.38909 0.02393476 0.4697329,71.57727
2212.975,138,2190.806,2208.897,Lab_Idle,0,default,-0.003055143 1.691161 0.3851282,4.389881 0.02154786 0.4675499,72.28175
2223.806,139,2213.57,2219.726,Lab_Idle,0,default,-0.003090248 1.691119 0.3851242,4.388734 0.02168943 0.4700627,71.21066
2234.681,140,2224.247,2230.599,Lab_Idle,0,default,-0.002974233 1.691005 0.3850903,4.386408 0.02384243 0.4716711,71.53654
2257.278,141,2235.11,2253.198,Lab_Idle,0,default,-0.002994703 1.690984 0.3850883,4.384582 0.01911205 0.4673109,72.28086
2267.952,142,2257.785,2263.87,Lab_Idle,0,default,-0.002979226 1.690914 0.3851881,4.389591 0.02001434 0.4680824,71.95215
2290.641,143,2268.359,2286.562,Lab_Idle,0,default,-0.002988394 1.690883 0.3851862,4.387517 0.02015514 0.4690416,72.28796
2301.437,144,2291.183,2297.357,Lab_Idle,0,default,-0.003060785 1.691111 0.3851736,4.394657 0.0227087 0.4717771,71.29904
2323.575,145,2301.875,2319.495,Lab_Idle,0,default,-0.003085801 1.691086 0.3851754,4.38733 0.02117628 0.4679962,71.62683
2334.984,146,2324.086,2330.91,Lab_Idle,0,default,-0.00285209 1.690971 0.38521,4.389999 0.0227186 0.4754628,71.37032
2346.172,147,2335.471,2342.092,Lab_Idle,0,default,-0.002868915 1.690967 0.3852114,4.398099 0.02055184 0.4735414,71.61762
2368.157,148,2346.659,2364.076,Lab_Idle,0,default,-0.002924433 1.691004 0.3852642,4.390303 0.01861874 0.4668525,72.29823
2379.503,149,2368.681,2375.424,Lab_Idle,0,default,-0.002957969 1.690969 0.3852662,4.391522 0.01939478 0.4721893,71.30589
2401.37,150,2380.071,2397.29,Lab_Idle,0,default,-0.002994873 1.69089 0.3854096,4.388357 0.01710106 0.4710143,71.56355
2412.924,151,2401.937,2408.845,Lab_Idle,0,default,-0.003037724 1.690852 0.3854192,4.391613 0.01774107 0.4702986,71.28067
2423.568,152,2413.463,2419.488,Lab_Idle,0,default,-0.002816825 1.690995 0.3853308,4.388671 0.01411869 0.4695155,71.51421
2446.179,153,2424.092,2442.103,Lab_Idle,0,default,-0.002842912 1.69098 0.3853274,4.390466 0.01764629 0.4722681,72.27366
2457.137,154,2446.681,2453.057,Lab_Idle,0,default,-0.002877717 1.690955 0.38533,4.388947 0.01822443 0.4665787,71.55829
2468.014,155,2457.595,2463.932,Lab_Idle,0,default,-0.002850067 1.690872 0.3852387,4.38714 0.02043968 0.4700232,72.30151
2490.715,156,2468.435,2486.638,Lab_Idle,0,default,-0.002862591 1.69085 0.3852394,4.389442 0.01663725 0.470392,72.18985
2501.367,157,2491.317,2497.286,Lab_Idle,0,default,-0.002848524 1.690986 0.3852171,4.391797 0.01797289 0.4668783,71.46953
2523.827,158,2501.79,2519.752,Lab_Idle,0,default,-0.002428239 1.690809 0.385067,4.38546 0.01711792 0.4694437,72.22652
2534.93,159,2524.364,2530.854,Lab_Idle,0,default,-0.002447697 1.690775 0.3850665,4.385564 0.01854121 0.4688646,71.56028
2557.071,160,2535.405,2552.991,Lab_Idle,0,default,-0.002467856 1.690759 0.3850699,4.385404 0.01592977 0.4664279,72.24766
2568.18,161,2557.566,2564.1,Lab_Idle,0,default,-0.002431138 1.690999 0.3851125,4.383554 0.01376754 0.469554,71.29814
2579.462,162,2568.661,2575.382,Lab_Idle,0,default,-0.0024463 1.69099 0.3851121,4.382155 0.01856575 0.4698134,71.58357
2601.449,163,2580,2597.368,Lab_Idle,0,default,-0.002643127 1.691176 0.3852544,4.388824 0.01540376 0.4714316,72.24795
2612.919,164,2602.061,2608.84,Lab_Idle,0,default,-0.002675539 1.691158 0.3852672,4.386702 0.02034881 0.4653379,71.55799
2623.791,165,2613.402,2619.71,Lab_Idle,0,default,-0.002526849 1.691247 0.3851792,4.389479 0.01764274 0.4714654,72.20236
2646.053,166,2624.248,2641.973,Lab_Idle,0,default,-0.002544038 1.691233 0.3851715,4.387545 0.01718236 0.471556,72.27847
2656.947,167,2646.556,2652.866,Lab_Idle,0,default,-0.002572453 1.691217 0.3851678,4.390679 0.01927157 0.4687227,71.54456
2679.703,168,2657.384,2675.622,Lab_Idle,0,default,-0.002512828 1.691096 0.3851376,4.384026 0.01488314 0.470139,72.27063
2690.538,169,2680.264,2686.458,Lab_Idle,0,default,-0.002542261 1.691078 0.3851334,4.38638 0.01351794 0.4709878,71.5563
2701.593,170,2691.013,2697.512,Lab_Idle,0,default,-0.00259275 1.691134 0.3851951,4.383055 0.01811523 0.4691411,72.29551
2723.668,171,2702.02,2719.587,Lab_Idle,0,default,-0.003066232 1.691534 0.3852946,4.389246 0.02151049 0.4763868,71.94762
2734.785,172,2724.185,2730.705,Lab_Idle,0,default,-0.003112894 1.691512 0.3852848,4.393857 0.02276214 0.4729328,71.53719
2757.051,173,2735.356,2752.971,Lab_Idle,0,default,-0.00313555 1.691482 0.3852854,4.391443 0.0207576 0.4766745,72.24198
2768.353,174,2757.556,2764.272,Lab_Idle,0,default,-0.002937804 1.691417 0.3851256,4.394354 0.02256138 0.4792702,71.62337
2779.526,175,2768.814,2775.448,Lab_Idle,0,default,-0.002949892 1.691404 0.3851245,4.39168 0.02122984 0.4768109,71.96031
2801.523,176,2780.058,2797.442,Lab_Idle,0,default,-0.002885352 1.691432 0.3851063,4.391087 0.02107373 0.4732817,72.2272
2812.684,177,2802.016,2808.606,Lab_Idle,0,default,-0.002901264 1.691409 0.3850948,4.38545 0.01876565 0.4756541,72.23848
2834.706,178,2813.166,2830.625,Lab_Idle,0,default,-0.002901905 1.691313 0.3852064,4.390759 0.02629491 0.4731781,72.22521
2846.263,179,2835.19,2842.182,Lab_Idle,0,default,-0.002929567 1.691277 0.3852106,4.388792 0.01577094 0.4708661,71.59087
2868.453,180,2846.726,2864.374,Lab_Idle,0,default,-0.002869389 1.691425 0.3851603,4.395023 0.02400284 0.4766836,72.21303
2879.76,181,2868.996,2875.68,Lab_Idle,0,default,-0.002892073 1.691391 0.3851532,4.396802 0.02097768 0.4745376,71.97417
2890.418,182,2880.213,2886.337,Lab_Idle,0,default,-0.002900141 1.691381 0.3851488,4.391624 0.02011584 0.4758576,72.22928
2912.753,183,2890.935,2908.673,Lab_Idle,0,default,-0.002883219 1.6913 0.3851977,4.392828 0.02035041 0.4743287,72.27583
2923.877,184,2913.301,2919.796,Lab_Idle,0,default,-0.002922339 1.69127 0.3851921,4.388251 0.02381208 0.4773128,72.27748
2934.477,185,2924.342,2930.395,Lab_Idle,0,default,-0.002885547 1.691518 0.3853291,4.396844 0.01926882 0.4689068,72.29957
2957.145,186,2934.878,2953.066,Lab_Idle,0,default,-0.003014647 1.691617 0.385402,4.392406 0.02503982 0.4733515,72.34556
2968.243,187,2957.718,2964.161,Lab_Idle,0,default,-0.00305124 1.691596 0.385418,4.394139 0.02746601 0.4716711,72.3332
2990.486,188,2968.691,2986.411,Lab_Idle,0,default,-0.003048697 1.691581 0.3854361,4.393631 0.02690072 0.470754,72.28683
3001.446,189,2991.213,2997.365,Lab_Idle,0,default,-0.00321056 1.691708 0.3854816,4.400125 0.02500526 0.4724614,71.60492
3023.781,190,3001.942,3019.702,Lab_Idle,0,default,-0.003229658 1.691689 0.3854874,4.396183 0.0258141 0.4705895,72.32056
3034.899,191,3024.374,3030.817,Lab_Idle,0,default,-0.003059361 1.691426 0.38544,4.395764 0.02225549 0.4709415,71.62543
3046.013,192,3035.425,3041.935,Lab_Idle,0,default,-0.003081759 1.691412 0.3854563,4.390453 0.023346 0.4702958,72.31811
3068.159,193,3046.537,3064.079,Lab_Idle,0,default,-0.003083162 1.691449 0.3854894,4.395685 0.02404895 0.4750355,72.31604
3079.36,194,3068.713,3075.281,Lab_Idle,0,default,-0.003102227 1.691415 0.3855096,4.393479 0.02746798 0.4737815,72.34227
3101.508,195,3079.938,3097.428,Lab_Idle,0,default,-0.003090491 1.691308 0.3854212,4.395939 0.02773709 0.4690321,72.2419
3112.741,196,3102.159,3108.661,Lab_Idle,0,default,-0.003130333 1.69128 0.3854481,4.391302 0.0299933 0.4664033,71.60957
3123.655,197,3113.235,3119.573,Lab_Idle,0,default,-0.003140083 1.691268 0.3854593,4.389798 0.02441927 0.4701625,72.27923
