ellapsed_exp_time,frame_id,start_frame_time,ellapsed_element_time,routine_name,element_iteration,condition_name,camera_rig_pos,camera_rig_rot,framerate
2368.629,165,2346.077,2365.359,Lab_Idle,0,default,0.5704806 -1.254468 1.805453,0 131.3723 0,78.42604
2378.985,166,2369.162,2375.712,Lab_Idle,0,default,0.5704806 -1.254468 1.805453,0 131.3723 0,78.06216
2389.874,167,2379.46,2386.602,Lab_Idle,0,default,0.5704806 -1.254468 1.805453,0 131.3723 0,78.32262
2412.828,168,2390.285,2409.558,Lab_Idle,0,default,0.5704806 -1.254468 1.805453,0 131.3723 0,78.34466
2423.314,169,2413.329,2420.042,Lab_Idle,0,default,0.5704806 -1.254468 1.805453,0 131.3723 0,78.33331
2434.931,170,2423.776,2431.661,Lab_Idle,0,default,0.5704806 -1.254468 1.805453,0 131.3723 0,78.37626
2445.531,171,2435.425,2442.258,Lab_Idle,0,default,0.5704806 -1.254468 1.805453,0 131.3723 0,78.33961
2468.39,172,2445.916,2465.123,Lab_Idle,0,default,0.5704806 -1.254468 1.805453,0 131.3723 0,78.56545
2479.058,173,2468.948,2475.786,Lab_Idle,0,default,0.5704806 -1.254468 1.805453,0 131.3723 0,78.37857
2490.027,174,2479.461,2486.754,Lab_Idle,0,default,0.5704806 -1.254468 1.805453,0 131.3723 0,78.44209
2501.518,175,2490.447,2498.248,Lab_Idle,0,default,0.5704806 -1.254468 1.805453,0 131.3723 0,78.40704
2523.574,176,2502.004,2520.304,Lab_Idle,0,default,0.5704806 -1.254468 1.805453,0 131.3723 0,78.52451
2534.67,177,2524.227,2531.398,Lab_Idle,0,default,0.5704806 -1.254468 1.805453,0 131.3723 0,78.30614
2545.76,178,2535.064,2542.489,Lab_Idle,0,default,0.5704806 -1.254468 1.805453,0 131.3723 0,78.29559
2568.57,179,2546.17,2565.302,Lab_Idle,0,default,0.5704806 -1.254468 1.805453,0 131.3723 0,78.31679
2579.08,180,2569.204,2575.808,Lab_Idle,0,default,0.5704806 -1.254468 1.805453,0 131.3723 0,78.32449
2590.335,181,2579.477,2587.065,Lab_Idle,0,default,0.5704806 -1.254468 1.805453,0 131.3723 0,78.31955
2601.55,182,2590.829,2598.279,Lab_Idle,0,default,0.5704806 -1.254468 1.805453,0 131.3723 0,78.26511
2623.932,183,2601.968,2620.661,Lab_Idle,0,default,0.5704806 -1.254468 1.805453,0 131.3723 0,78.41784
2634.629,184,2624.423,2631.358,Lab_Idle,0,default,0.5704806 -1.254468 1.805453,0 131.3723 0,78.24187
2645.675,185,2635.139,2642.404,Lab_Idle,0,default,0.5704806 -1.254468 1.805453,0 131.3723 0,78.27773
2656.688,186,2646.222,2653.417,Lab_Idle,0,default,0.5704806 -1.254468 1.805453,0 131.3723 0,78.34255
2679.377,187,2657.147,2676.106,Lab_Idle,0,default,0.5704806 -1.254468 1.805453,0 131.3723 0,78.51449
2712.682,188,2679.867,2709.412,Lab_Idle,0,default,0.5704806 -1.254468 1.805453,0 131.3723 0,78.10123
2723.322,189,2713.255,2720.048,Lab_Idle,0,default,0.5704806 -1.254468 1.805453,0 131.3723 0,77.2645
2734.819,190,2723.945,2731.549,Lab_Idle,0,default,0.5704806 -1.254468 1.805453,0 131.3723 0,77.95583
2757.191,191,2735.413,2753.928,Lab_Idle,0,default,0.5704806 -1.254468 1.805453,0 131.3723 0,77.90319
2768.041,192,2758.051,2764.77,Lab_Idle,0,default,0.5704806 -1.254468 1.805453,0 131.3723 0,76.98534
2779.052,193,2768.508,2775.78,Lab_Idle,0,default,0.5704806 -1.254468 1.805453,0 131.3723 0,77.23709
2789.97,194,2779.671,2786.697,Lab_Idle,0,default,0.5704806 -1.254468 1.805453,0 131.3723 0,77.61084
2812.59,195,2790.628,2809.321,Lab_Idle,0,default,0.5704806 -1.254468 1.805453,0 131.3723 0,77.8209
